team_a,team_b,phase,odds_home,odds_draw,odds_away,bookmaker,source_url
England,Panama,GROUP,1.22,6.41,18.09,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
England,Belgium,GROUP,2.46,2.85,3.67,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Panama,Tunisia,GROUP,4.34,3.73,1.88,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Colombia,Japan,GROUP,1.88,3.34,5.06,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Poland,Senegal,GROUP,2.48,3.07,3.32,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Japan,Senegal,GROUP,3.16,2.96,2.67,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Poland,Colombia,GROUP,3.46,3.45,2.22,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Japan,Poland,GROUP,2.96,3.15,2.67,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Senegal,Colombia,GROUP,5.07,3.79,1.76,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
France,Argentina,R16,2.43,3.12,3.33,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Uruguay,Portugal,R16,3.05,2.98,2.74,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Spain,Russia,R16,1.59,4.1,6.33,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Croatia,Denmark,R16,1.99,3.22,4.61,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Brazil,Mexico,R16,1.49,4.44,7.61,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Belgium,Japan,R16,1.43,4.71,8.58,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Sweden,Switzerland,R16,3.37,2.95,2.53,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
England,Colombia,R16,2.15,3.11,4.07,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Uruguay,France,QF,4.61,3.11,2.01,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Brazil,Belgium,QF,2.12,3.42,3.69,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Sweden,England,QF,5.07,3.35,1.85,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Russia,Croatia,QF,4.03,3.15,2.12,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
France,Belgium,SF,2.59,3.13,3.02,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Croatia,England,SF,3.81,2.99,2.28,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
Belgium,England,THIRD,2.2,3.74,3.18,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
France,Croatia,FINAL,2.13,3.09,4.15,footballdata_avg,football-data.co.uk/WorldCup2026.xlsx
