team_a,team_b,phase,odds_home,odds_draw,odds_away,bookmaker,source_url
Ghana,USA,GROUP,2.404,3.387,2.984,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Germany,Ghana,GROUP,1.331,5.44,8.916,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
USA,Portugal,GROUP,4.519,4.016,1.732,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
USA,Germany,GROUP,8.119,3.05,1.669,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Portugal,Ghana,GROUP,1.766,4.762,3.691,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Belgium,Algeria,GROUP,1.333,5.15,9.72,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Russia,South Korea,GROUP,1.818,3.563,4.614,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Belgium,Russia,GROUP,2.199,3.29,3.441,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
South Korea,Algeria,GROUP,2.498,3.252,2.921,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
South Korea,Belgium,GROUP,4.542,3.558,1.829,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Algeria,Russia,GROUP,3.582,3.639,2.024,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Brazil,Chile,R16,1.523,4.395,6.189,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Colombia,Uruguay,R16,2.126,3.313,3.613,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Netherlands,Mexico,R16,2.117,3.284,3.665,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Costa Rica,Greece,R16,2.633,3.088,2.898,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
France,Nigeria,R16,1.41,4.595,8.417,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Germany,Algeria,R16,1.308,5.514,9.907,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Argentina,Switzerland,R16,1.558,4.075,6.27,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Belgium,USA,R16,2.0,3.358,3.995,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Brazil,Colombia,QF,1.76,3.728,4.801,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Germany,France,QF,2.74,3.109,2.792,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Netherlands,Costa Rica,QF,1.514,4.085,6.977,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Argentina,Belgium,QF,1.983,3.321,4.138,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Brazil,Germany,SF,2.633,3.139,2.884,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Netherlands,Argentina,SF,3.015,3.197,2.502,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Netherlands,Brazil,THIRD,3.246,3.649,2.158,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
Germany,Argentina,FINAL,2.331,3.236,3.305,btb_avg_close,kaggle.com/datasets/austro/beat-the-bookie-worldwide-football-dataset
